dataset,estimator,cost_type,n_samples,method,validity,cost,plausibility,sparsity,time,time per samples
Credit,RandomForest,std,20,FT,1.0,1.2514851237581373,0.4797562692913611,1.05,0.3234701156616211,0.016173505783081056
Credit,RandomForest,std,20,OAE,1.0,3.4867363578349533,0.523365848279105,4.65,3678.491798877716,183.9245899438858
Credit,RandomForest,std,20,FOCUS (0.001),1.0,12.651188842504052,0.5147008736714886,8.2,370.5192000865936,18.525960004329683
Credit,RandomForest,std,20,FOCUS (0.01),1.0,6.6019344213185835,0.43882413874996873,5.5,370.75162291526794,18.537581145763397
Credit,RandomForest,std,20,FOCUS (0.1),0.25,1.8600618577562273,0.4723788530618148,1.4,371.5896408557892,18.579482042789458
Credit,RandomForest,std,20,FT++,1.0,1.2514851237581373,0.47550763698186305,1.05,2.5552871227264404,0.12776435613632203
Credit,RandomForest,std,20,FT,1.0,0.9309887227982451,0.4755675970688363,1.35,0.3303861618041992,0.01651930809020996
Credit,RandomForest,std,20,OAE,1.0,3.6839921912935862,0.5216552015076873,4.95,3774.897756099701,188.74488780498504
Credit,RandomForest,std,20,FOCUS (0.001),1.0,11.186015549924923,0.4870757668835061,8.0,374.4778950214386,18.72389475107193
Credit,RandomForest,std,20,FOCUS (0.01),1.0,6.374941956163093,0.42788312778181076,5.95,374.3196110725403,18.715980553627013
Credit,RandomForest,std,20,FOCUS (0.1),0.55,1.5908252359420822,0.44745239757531485,1.2727272727272727,373.3863859176636,18.669319295883177
Credit,RandomForest,std,20,FT++,1.0,0.9125863583007027,0.4737441619625188,1.4500000000000002,2.713275194168091,0.13566375970840455
German,RandomForest,std,20,FT,1.0,0.6998356972307682,0.5474609147259732,1.1,0.2915611267089844,0.01457805633544922
German,RandomForest,std,20,OAE,1.0,0.7673642864884982,0.5397288376132836,1.6500000000000001,1658.8772432804108,82.94386216402054
