dataset,estimator,shift_type,cost_type,n_samples,method,parameter,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,1043,BetaRobust,0.75,1.0,0.3566634707574305,2.5042623647339375,0.4501902857542311,2.4467881112176415,183.07114124298096,0.17552362535281013
FICO,XGBoost,split,tlps,1043,BetaRobust,0.8,1.0,0.36433365292425696,2.5768636901488735,0.4500534980441246,2.4918504314477468,183.07114124298096,0.17552362535281013
FICO,XGBoost,split,tlps,1043,BetaRobust,0.85,0.9990412272291467,0.36625119846596355,2.6377880440091532,0.4496061756729941,2.540307101727447,183.07114124298096,0.17552362535281013
FICO,XGBoost,split,tlps,1043,BetaRobust,0.9,0.9990412272291467,0.3691275167785235,2.7839771050862328,0.44983762436345603,2.6026871401151634,183.07114124298096,0.17552362535281013
FICO,XGBoost,split,tlps,1043,DiRARTE-W,1.5,1.0,0.3326941514860978,3.142652502810299,0.452521674494806,2.8676893576222433,76.94539999961853,0.07377315436205037
FICO,XGBoost,split,tlps,1043,DiRARTE-W,2.0,1.0,0.3911792905081496,4.1400385087070815,0.45411246095578844,3.2588686481303935,76.94539999961853,0.07377315436205037
FICO,XGBoost,split,tlps,1043,DiRARTE-W,2.5,0.9932885906040269,0.45254074784276127,5.4776506314566475,0.45639542965713586,3.7113899613899615,76.94539999961853,0.07377315436205037
FICO,XGBoost,split,tlps,1043,DiRARTE-W,3.0,0.9415148609779482,0.48897411313518696,6.771627223117063,0.4598558709794966,4.057026476578411,76.94539999961853,0.07377315436205037
FICO,XGBoost,split,tlps,1043,DiRARTE-W,3.5,0.8523489932885906,0.5254074784276127,8.330169288513668,0.46367537937119535,4.293588301462316,76.94539999961853,0.07377315436205037
FICO,XGBoost,split,tlps,1043,DiRARTE-X,0.02,1.0,0.32694151486097794,3.0289729176170046,0.44871592622496076,2.786193672099712,102.75539088249207,0.09851907083652163
FICO,XGBoost,split,tlps,1043,DiRARTE-X,0.04,0.99712368168744,0.40939597315436244,4.276453851059971,0.44959811747809586,3.2759615384615386,102.75539088249207,0.09851907083652163
FICO,XGBoost,split,tlps,1043,DiRARTE-X,0.06,0.9721955896452541,0.4276126558005753,5.290377156020006,0.4496785645257613,3.610453648915187,102.75539088249207,0.09851907083652163
FICO,XGBoost,split,tlps,1043,DiRARTE-X,0.08,0.9405560882070949,0.48801534036433364,6.524624753323771,0.45013236382501126,3.9602446483180427,102.75539088249207,0.09851907083652163
FICO,XGBoost,split,tlps,1043,DiRARTE-X,0.1,0.87248322147651,0.5033557046979866,7.4057362521560774,0.4502119051461349,4.116483516483517,102.75539088249207,0.09851907083652163
FICO,XGBoost,split,tlps,1045,Baseline,0.0,1.0,0.23253588516746412,1.3293978012922463,0.4468987510115115,1.7875598086124405,76.56332278251648,0.07326633759092487
FICO,XGBoost,split,tlps,1045,RobX,0.5,1.0,0.3492822966507177,7.507902852879625,0.4373833132951335,15.056459330143541,368.1512472629547,0.35229784427077004
FICO,XGBoost,split,tlps,1045,RobX,0.55,1.0,0.4105263157894737,8.456804210318124,0.4357857295773991,15.129186602870814,368.1512472629547,0.35229784427077004
FICO,XGBoost,split,tlps,1045,RobX,0.6,1.0,0.4535885167464115,9.429392099483316,0.4348183087002934,15.203827751196174,368.1512472629547,0.35229784427077004
FICO,XGBoost,split,tlps,1045,RobX,0.65,1.0,0.49569377990430624,10.541576298772144,0.43440911294925566,15.231578947368419,368.1512472629547,0.35229784427077004
FICO,XGBoost,split,tlps,1045,RobX,0.7,1.0,0.5377990430622009,11.943901448973335,0.4346354504902237,15.330143540669857,368.1512472629547,0.35229784427077004
FICO,XGBoost,split,tlps,1045,BetaRobust,0.7,1.0,0.3043062200956938,2.368421750627621,0.4530737727991919,2.315789473684211,194.4639880657196,0.18608994073274604
FICO,XGBoost,split,tlps,1045,BetaRobust,0.75,1.0,0.31100478468899523,2.430864384875168,0.45290139877763036,2.357894736842105,194.4639880657196,0.18608994073274604
